tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2020-09-08,DKI1 (Bunderan HI),,58.0,22.0,5.0,47.0,12.0,81.0,PM25,SEDANG
2020-09-09,DKI1 (Bunderan HI),,56.0,22.0,4.0,39.0,9.0,80.0,PM25,SEDANG
2020-09-10,DKI1 (Bunderan HI),,56.0,18.0,6.0,78.0,13.0,80.0,PM25,SEDANG
2020-09-11,DKI1 (Bunderan HI),,68.0,18.0,7.0,70.0,22.0,97.0,PM25,SEDANG
2020-09-12,DKI1 (Bunderan HI),,59.0,18.0,7.0,99.0,18.0,99.0,O3,SEDANG
2020-09-13,DKI1 (Bunderan HI),,60.0,18.0,7.0,86.0,11.0,86.0,O3,SEDANG
2020-09-14,DKI1 (Bunderan HI),,57.0,18.0,6.0,58.0,11.0,86.0,PM25,SEDANG
2020-09-15,DKI1 (Bunderan HI),,55.0,16.0,6.0,69.0,12.0,76.0,PM25,SEDANG
2020-09-16,DKI1 (Bunderan HI),,57.0,16.0,7.0,59.0,14.0,77.0,PM25,SEDANG
2020-09-17,DKI1 (Bunderan HI),,45.0,18.0,4.0,49.0,10.0,68.0,PM25,SEDANG
2020-09-18,DKI1 (Bunderan HI),,52.0,19.0,4.0,42.0,10.0,71.0,PM25,SEDANG
2020-09-19,DKI1 (Bunderan HI),,60.0,22.0,5.0,68.0,11.0,86.0,PM25,SEDANG
2020-09-20,DKI1 (Bunderan HI),,44.0,19.0,3.0,35.0,6.0,56.0,PM25,SEDANG
2020-09-21,DKI1 (Bunderan HI),,46.0,18.0,8.0,64.0,9.0,64.0,O3,SEDANG
2020-09-22,DKI1 (Bunderan HI),,37.0,15.0,6.0,82.0,11.0,82.0,O3,SEDANG
2020-09-23,DKI1 (Bunderan HI),,54.0,20.0,7.0,78.0,12.0,78.0,O3,SEDANG
2020-09-24,DKI1 (Bunderan HI),,57.0,17.0,6.0,82.0,14.0,82.0,O3,SEDANG
2020-09-25,DKI1 (Bunderan HI),,62.0,19.0,6.0,65.0,11.0,91.0,PM25,SEDANG
2020-09-26,DKI1 (Bunderan HI),,69.0,19.0,10.0,91.0,14.0,103.0,PM25,TIDAK SEHAT
2020-09-27,DKI1 (Bunderan HI),,61.0,17.0,11.0,77.0,13.0,87.0,PM25,SEDANG
2020-09-28,DKI1 (Bunderan HI),,42.0,16.0,5.0,70.0,10.0,70.0,O3,SEDANG
2020-09-29,DKI1 (Bunderan HI),,52.0,19.0,6.0,66.0,11.0,72.0,PM25,SEDANG
2020-09-30,DKI1 (Bunderan HI),,55.0,19.0,6.0,47.0,11.0,76.0,PM25,SEDANG
2020-10-01,DKI1 (Bunderan HI),,50.0,19.0,4.0,50.0,10.0,72.0,PM25,SEDANG
2020-10-02,DKI1 (Bunderan HI),,53.0,22.0,6.0,69.0,12.0,69.0,O3,SEDANG
2020-10-03,DKI1 (Bunderan HI),,50.0,17.0,9.0,71.0,14.0,71.0,O3,SEDANG
2020-10-04,DKI1 (Bunderan HI),,53.0,18.0,8.0,75.0,16.0,75.0,PM25,SEDANG
2020-10-05,DKI1 (Bunderan HI),,40.0,16.0,5.0,95.0,10.0,95.0,O3,SEDANG
2020-10-06,DKI1 (Bunderan HI),,42.0,17.0,5.0,70.0,11.0,70.0,O3,SEDANG
2020-10-07,DKI1 (Bunderan HI),,52.0,20.0,5.0,68.0,13.0,68.0,O3,SEDANG
2020-10-08,DKI1 (Bunderan HI),,46.0,20.0,5.0,83.0,11.0,83.0,O3,SEDANG
2020-10-09,DKI1 (Bunderan HI),,60.0,18.0,7.0,87.0,14.0,99.0,PM25,SEDANG
2020-10-10,DKI1 (Bunderan HI),,53.0,17.0,7.0,60.0,11.0,74.0,PM25,SEDANG
2020-10-11,DKI1 (Bunderan HI),,44.0,18.0,6.0,74.0,11.0,74.0,O3,SEDANG
2020-10-12,DKI1 (Bunderan HI),,57.0,19.0,7.0,86.0,16.0,86.0,O3,SEDANG
2020-10-13,DKI1 (Bunderan HI),,61.0,21.0,9.0,75.0,11.0,91.0,PM25,SEDANG
2020-10-14,DKI1 (Bunderan HI),,63.0,18.0,8.0,63.0,20.0,93.0,PM25,SEDANG
2020-10-15,DKI1 (Bunderan HI),,60.0,20.0,7.0,70.0,17.0,91.0,PM25,SEDANG
2020-10-16,DKI1 (Bunderan HI),,56.0,19.0,7.0,76.0,20.0,80.0,PM25,SEDANG
2020-10-17,DKI1 (Bunderan HI),,51.0,17.0,9.0,61.0,22.0,70.0,PM25,SEDANG
2020-10-18,DKI1 (Bunderan HI),,50.0,16.0,7.0,51.0,14.0,72.0,PM25,SEDANG
2020-10-19,DKI1 (Bunderan HI),,54.0,16.0,7.0,60.0,11.0,76.0,PM25,SEDANG
2020-10-20,DKI1 (Bunderan HI),,54.0,18.0,11.0,43.0,15.0,83.0,PM25,SEDANG
2020-10-21,DKI1 (Bunderan HI),,57.0,18.0,11.0,71.0,15.0,78.0,PM25,SEDANG
2020-10-22,DKI1 (Bunderan HI),,48.0,17.0,10.0,44.0,13.0,61.0,PM25,SEDANG
2020-10-23,DKI1 (Bunderan HI),,26.0,15.0,3.0,23.0,7.0,36.0,PM25,BAIK
2020-10-24,DKI1 (Bunderan HI),,47.0,23.0,6.0,61.0,11.0,69.0,PM25,SEDANG
2020-10-25,DKI1 (Bunderan HI),,39.0,17.0,7.0,48.0,11.0,61.0,PM25,SEDANG
2020-10-26,DKI1 (Bunderan HI),,41.0,18.0,8.0,77.0,20.0,77.0,O3,SEDANG
2020-10-27,DKI1 (Bunderan HI),,40.0,16.0,9.0,77.0,15.0,77.0,O3,SEDANG
2020-10-28,DKI1 (Bunderan HI),,55.0,18.0,18.0,60.0,16.0,75.0,PM25,SEDANG
2020-10-29,DKI1 (Bunderan HI),,51.0,17.0,7.0,40.0,14.0,70.0,PM25,SEDANG
2020-10-30,DKI1 (Bunderan HI),,52.0,18.0,5.0,35.0,9.0,73.0,PM25,SEDANG
2020-10-31,DKI1 (Bunderan HI),,35.0,20.0,3.0,48.0,8.0,54.0,PM25,SEDANG
